IXG,DLU,1,213,jjewssxvsc,csamnzlnbd
DLU,OFE,2,52,csamnzlnbd,otymrkfeql
OFE,WNQ,3,276,otymrkfeql,xhgrdazdlm
WNQ,PAB,4,534,xhgrdazdlm,pzfiutsick
PAB,PNS,5,190,pzfiutsick,qmepuwamrl
PNS,CEA,6,200,qmepuwamrl,bvltsgudns
CEA,IES,7,140,bvltsgudns,inpthhfbka
IES,SJH,8,184,inpthhfbka,tjtrfdakni
SJH,FKP,9,375,tjtrfdakni,faslrwihub
FKP,NRF,10,177,faslrwihub,onmgurimgl
NRF,LWD,11,197,onmgurimgl,myrpoofvxi
LWD,UIE,12,455,myrpoofvxi,veotbuixyu
UIE,WBK,13,180,veotbuixyu,wlxeuqrsih
WBK,DUB,14,677,wlxeuqrsih,deilbiaejd
DUB,ZAH,15,197,deilbiaejd,ymlgkflacw
ZAH,VRH,16,426,ymlgkflacw,vzkcquzmgl
VRH,HHA,17,357,vzkcquzmgl,gzpxthaigb
HHA,FBV,18,185,gzpxthaigb,ewefntkkzx
FBV,DEI,19,160,ewefntkkzx,cqmlqefpnr
DEI,PMQ,20,132,cqmlqefpnr,qdrpyydrpr
PMQ,AGQ,21,229,qdrpyydrpr,aexlsrhejc
AGQ,DWY,22,70,aexlsrhejc,dimahmdnjj
DWY,AZP,23,167,dimahmdnjj,ajuqkaorsq
AZP,NHX,24,151,ajuqkaorsq,okobfyjfpu
NHX,BFF,25,193,okobfyjfpu,apqxisvnsv
BFF,CEF,26,75,apqxisvnsv,cbyeymgpdn
CEF,XJK,27,205,cbyeymgpdn,xnjzhtmncy
XJK,DRK,28,268,xnjzhtmncy,cxxpxfxduu
DRK,AUQ,29,177,cxxpxfxduu,ajcbqbesit
AUQ,JQA,30,209,ajcbqbesit,kcxcfftbqu
JQA,QJO,31,210,kcxcfftbqu,rdmopwgghl
QJO,AAJ,32,254,rdmopwgghl,abnwwfvojn
AAJ,GXR,33,118,abnwwfvojn,gjrskjvpuh
GXR,BAH,34,201,gjrskjvpuh,amirtsgvpi
